"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"H7GWFDSX7_E460_POOLRET74",460,1,15,3,11,6,4,15,54,0.976029372,12,5,17,71
"H7GWFDSX7_E461_POOLRET74",461,1,21,1,15,5,7,15,64,0.953559715,7,4,11,75
"H7GWFDSX7_E462_POOLRET74",462,1,15,3,5,5,3,18,49,0.919012479,4,8,12,61
"H7GWFDSX7_E463_POOLRET74",463,1,13,1,8,7,6,17,52,0.976506675,12,4,16,68
"H7GWFDSX7_E464_POOLRET74",464,1,13,6,12,8,3,12,54,0.952224908,10,5,15,69
"H7GWFDSX7_E466_POOLRET74",466,1,15,2,1,6,6,12,42,0.867845073,7,4,11,53
"H7GWFDSX7_E472_POOLRET74",472,1,10,3,3,6,4,10,36,0.973469005,4,3,7,43
"H7GWFDSX7_E477_POOLRET74",477,1,13,8,7,2,6,10,46,0.953206427,16,2,18,64
"H7GWFDSX7_E478_POOLRET74",478,1,12,3,7,5,2,10,39,0.972835898,11,2,13,52
"H7GWFDSX7_E479_POOLRET74",479,1,13,8,5,7,1,9,43,0.937390255,8,5,13,56
"H7GWFDSX7_E480_POOLRET74",480,1,15,3,5,8,2,9,42,0.882051595,6,1,7,49
"H7GWFDSX7_E484_POOLRET74",484,1,12,4,5,4,2,7,34,0.951846582,8,1,9,43
"H7GWFDSX7_E487_POOLRET74",487,1,13,3,5,6,3,5,35,0.852438727,5,2,7,42
"H7GWFDSX7_E494_POOLRET74",494,1,17,0,2,4,3,16,42,0.972975279,8,2,10,52
"H7GWFDSX7_E498_POOLRET74",498,1,15,3,6,6,0,16,46,0.933806728,15,6,21,67
"G201_POOLRET73_S509_L003",401,1,8,1,2,7,1,13,32,0.749102134,4,5,9,41
"G202_POOLRET73_S446_L003",402,2,6,3,6,6,1,12,34,0.906996014,3,3,6,40
"G203_POOLRET72_S273_L002",403,2,10,0,6,7,6,6,35,0.828891157,8,4,12,47
"G204_POOLRET73_S504_L003",404,2,12,0,1,7,4,11,35,0.90378869,3,3,6,41
"G206_POOLRET73_S465_L003",406,2,15,4,3,5,3,12,42,0.929086268,8,4,12,54
"G209_POOLRET72_S352_L002",409,2,17,6,8,6,3,11,51,92,6,4,10,61
"G210_POOLRET73_S494_L003",410,2,12,2,1,5,5,9,34,0.955425941,5,3,8,42
"G211_POOLRET73_S395_L003",411,2,13,3,7,8,3,7,41,0.823815823,7,3,10,51
"G212_POOLRET73_S396_L003",412,2,17,3,3,3,3,12,41,0.945762437,3,5,8,49
"G213_POOLRET72_S193_L002",413,2,13,2,5,7,2,6,35,0.9053391,7,2,9,44
"G214_POOLRET72_S332_L002",414,2,15,2,9,9,5,7,47,0.939628016,4,3,7,54
"G215_POOLRET72_S264_L002",415,2,14,4,2,5,7,12,44,0.920984082,3,2,5,49
"G216_POOLRET73_S502_L003",416,2,8,0,2,1,3,3,17,0.934357391,0,0,0,17
"G217_POOLRET73_S397_L003",417,2,13,4,6,6,0,6,35,0.758117095,2,1,3,38
"G218_POOLRET73_S521_L003",418,2,9,3,2,6,4,13,37,0.93812175,4,2,6,43
"G219_POOLRET73_S574_L003",419,2,10,4,1,7,5,6,33,0.869721808,4,0,4,37
"G221_POOLRET72_S308_L002",421,2,2,2,3,5,1,10,23,0.865003681,5,5,10,33
"G222_POOLRET72_S297_L002",422,2,7,8,5,6,4,5,35,0.915884208,10,9,19,54
"G223_POOLRET73_S451_L003",423,2,9,7,7,7,5,14,49,0.958716317,5,4,9,58
"G224_POOLRET73_S441_L003",424,2,8,3,6,4,4,15,40,0.935878096,11,1,12,52
"G226_POOLRET72_S258_L002",426,2,15,4,7,6,2,6,40,0.9463586,10,44,54,94
"G227_POOLRET72_S377_L002",427,2,18,1,7,4,5,14,49,0.912185432,1,3,4,53
"G229_POOLRET73_S539_L003",429,2,13,2,8,7,4,5,39,0.944404735,6,2,8,47
"G230_POOLRET73_S458_L003",430,2,10,4,6,3,7,7,37,0.956092432,2,1,3,40
"G231_POOLRET73_S457_L003",431,2,9,2,4,3,5,4,27,0.957279073,9,6,15,42
"G232_POOLRET73_S558_L003",432,2,9,3,7,2,3,6,30,0.777747294,3,2,5,35
"G233_POOLRET72_S242_L002",433,2,12,2,1,2,7,8,32,0.823912845,2,2,4,36
"G234_POOLRET72_S215_L002",434,2,1,2,1,1,1,1,7,0.777353911,4,0,4,11
"G235_POOLRET73_S570_L003",435,2,15,2,3,0,3,4,27,0.730347657,2,2,4,31
"G237_POOLRET72_S307_L002",437,2,9,2,11,10,4,10,46,0.934819258,4,7,11,57
"G239_POOLRET73_S444_L003",439,2,9,1,5,5,3,5,28,0.904403779,5,0,5,33
"G241_POOLRET73_S452_L003",441,2,14,2,4,6,1,4,31,0.934730742,9,2,11,42
"G242_POOLRET72_S286_L002",442,2,8,2,5,3,2,9,29,0.944196851,6,7,13,42
"G244_POOLRET73_S408_L003",444,2,9,4,6,5,5,11,40,0.947487975,6,7,13,53
"G245_POOLRET73_S519_L003",445,2,23,5,4,10,5,13,60,0.942753166,3,3,6,66
"G247_POOLRET73_S530_L003",447,2,8,3,4,8,8,6,37,0.932121754,5,6,11,48
"G248_POOLRET73_S387_L003",448,2,10,3,4,5,1,9,32,0.953910072,6,1,7,39
"G249_POOLRET72_S198_L002",449,2,9,2,8,6,3,5,33,0.809494101,4,1,5,38
"G252_POOLRET73_S481_L003",452,2,14,6,4,4,2,6,36,0.903529173,6,4,10,46
"G253_POOLRET73_S431_L003",453,2,14,2,6,8,7,10,47,0.909042972,7,3,10,57
