"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"G235_POOLRET73_S570_L003",17,2,7,2,3,7,38,0.956196474,4,2,6,44
"G237_POOLRET72_S307_L002",9,2,11,9,4,9,44,0.975022635,5,8,13,57
"G239_POOLRET73_S444_L003",8,2,5,5,2,3,25,0.972085557,6,0,6,31
"G241_POOLRET73_S452_L003",16,2,5,6,3,2,34,0.975011936,3,2,5,39
"G242_POOLRET72_S286_L002",7,3,6,3,2,7,28,0.975687132,6,6,12,40
"G244_POOLRET73_S408_L003",8,5,6,5,7,7,38,0.975686903,5,3,8,46
"G245_POOLRET73_S519_L003",24,5,4,9,5,8,55,0.975292752,3,2,5,60
"G247_POOLRET73_S530_L003",10,3,4,7,10,2,36,0.974693747,6,4,10,46
"G248_POOLRET73_S387_L003",9,3,4,5,1,4,26,0.97635832,3,1,4,30
"G249_POOLRET72_S198_L002",9,3,11,5,3,1,32,0.965858432,3,1,4,36
"G252_POOLRET73_S481_L003",15,5,3,4,3,2,32,0.973632168,10,5,15,47
"G253_POOLRET73_S431_L003",16,2,6,8,7,8,47,0.973158385,6,3,9,56
"G254_POOLRET73_S447_L003",9,3,6,7,4,6,35,0.966699613,3,0,3,38
"G255_POOLRET72_S237_L002",17,5,6,5,5,10,48,0.975124883,3,3,6,54
"G257_POOLRET73_S540_L003",11,5,5,10,4,7,42,0.971795209,4,2,6,48
"G258_POOLRET73_S473_L003",17,6,7,4,1,8,43,0.943608197,10,4,14,57
"G259_POOLRET73_S428_L003",18,6,4,4,7,5,44,0.976615852,5,2,7,51
"G261_POOLRET72_S254_L002",21,2,11,7,8,7,56,0.977258412,4,5,9,65
"G262_POOLRET73_S394_L003",10,2,7,9,3,10,41,0.974310495,3,4,7,48
"G264_POOLRET73_S470_L003",15,3,13,9,7,5,52,0.977576172,12,10,22,74
"G265_POOLRET72_S298_L002",15,3,9,7,5,10,49,0.955193945,6,3,9,58
"G266_POOLRET73_S407_L003",18,3,6,2,9,4,42,0.971299887,5,3,8,50
"G268_POOLRET72_S342_L002",14,3,7,10,7,5,46,0.955343636,7,1,8,54
"G269_POOLRET73_S573_L003",14,3,8,7,1,7,40,0.948536721,2,2,4,44
"G270_POOLRET72_S345_L002",10,2,7,6,1,7,33,0.977295546,3,1,4,37
"G271_POOLRET73_S413_L003",17,2,7,7,4,8,45,0.971039224,2,5,7,52
"G273_POOLRET73_S525_L003",15,5,10,3,2,4,39,0.96986743,6,1,7,46
"G274_POOLRET72_S271_L002",16,5,7,8,5,1,42,0.976553671,7,1,8,50
"G277_POOLRET72_S364_L002",11,4,6,6,8,6,41,0.976434153,7,5,12,53
"G279_POOLRET72_S305_L002",11,9,11,4,0,3,38,0.975571005,5,6,11,49
"G280_POOLRET73_S487_L003",19,1,3,10,4,7,44,0.971517564,8,2,10,54
"G281_POOLRET73_S422_L003",15,5,4,7,4,9,44,0.97199735,5,6,11,55
"G282_POOLRET72_S248_L002",15,4,2,6,4,9,40,0.97593224,3,8,11,51
"G283_POOLRET73_S427_L003",8,4,3,4,5,2,26,0.976446557,4,3,7,33
"G284_POOLRET73_S463_L003",9,6,7,7,3,3,35,0.977079694,6,3,9,44
"G285_POOLRET72_S325_L002",18,4,8,7,5,4,46,0.967223512,14,8,22,68
"G286_POOLRET73_S548_L003",10,2,7,5,4,7,35,0.973087538,5,1,6,41
"G287_POOLRET73_S549_L003",12,7,4,6,3,1,33,0.971705157,4,2,6,39
"G289_POOLRET73_S537_L003",13,6,4,6,2,1,32,0.966218231,5,0,5,37
"G290_POOLRET73_S426_L003",17,7,7,4,4,5,44,0.972880002,4,1,5,49
"G295_POOLRET73_S434_L003",16,2,10,7,4,7,46,0.973704082,3,2,5,51
"G296_POOLRET73_S386_L003",17,5,6,3,2,4,37,0.95718581,1,4,5,42
"G297_POOLRET72_S331_L002",14,4,7,5,5,6,41,0.975721414,4,4,8,49
"G298_POOLRET72_S306_L002",18,5,8,9,4,11,55,0.975487614,8,3,11,66
"G299_POOLRET72_S349_L002",12,2,7,7,3,6,37,0.966589279,9,1,10,47
"H7GWFDSX7_G200_POOLRET74",14,4,6,8,5,6,43,0.977850776,6,1,7,50
"H7GWFDSX7_G205_POOLRET74",17,5,5,7,5,8,47,0.980276399,8,1,9,56
"H7GWFDSX7_G207_POOLRET74",18,5,10,8,4,5,50,0.97472089,4,3,7,57
"H7GWFDSX7_G208_POOLRET74",16,6,4,3,3,5,37,0.97808683,11,5,16,53
"H7GWFDSX7_G220_POOLRET74",16,6,9,7,2,9,49,0.9758207,5,0,5,54
"H7GWFDSX7_G225_POOLRET74",15,5,3,6,2,8,39,0.97716146,5,1,6,45
"H7GWFDSX7_G228_POOLRET74",11,1,4,7,2,6,31,0.980204814,6,4,10,41
"H7GWFDSX7_G236_POOLRET74",14,5,6,9,2,14,50,0.97690317,5,5,10,60
"H7GWFDSX7_G238_POOLRET74",8,3,6,3,4,11,35,0.978818903,8,2,10,45
"H7GWFDSX7_G240_POOLRET74",11,4,10,6,4,4,39,0.974696569,5,2,7,46
"H7GWFDSX7_G243_POOLRET74",20,2,8,3,2,7,42,0.980491702,13,1,14,56
"H7GWFDSX7_G246_POOLRET74",3,3,1,1,1,5,14,0.98045759,2,0,2,16
"H7GWFDSX7_G250_POOLRET74",15,4,3,9,8,5,44,0.979434021,8,4,12,56
"H7GWFDSX7_G251_POOLRET74",18,7,7,9,6,7,54,0.966519538,4,1,5,59
"H7GWFDSX7_G256_POOLRET74",11,1,4,4,2,7,29,0.975407922,7,1,8,37
"H7GWFDSX7_G260_POOLRET74",15,2,7,7,1,7,39,0.980036855,5,2,7,46
"H7GWFDSX7_G263_POOLRET74",12,2,7,2,6,9,38,0.980336865,3,1,4,42
"H7GWFDSX7_G267_POOLRET74",15,3,6,4,4,5,37,0.971931618,2,4,6,43
"H7GWFDSX7_G272_POOLRET74",11,2,3,6,2,2,26,0.979084841,1,0,1,27
"H7GWFDSX7_G275_POOLRET74",12,3,1,2,2,3,23,0.950087998,8,0,8,31
"H7GWFDSX7_G276_POOLRET74",12,3,5,8,2,10,40,0.977634106,6,1,7,47
"H7GWFDSX7_G278_POOLRET74",15,2,7,5,2,6,37,0.978988238,6,2,8,45
"H7GWFDSX7_G288_POOLRET74",17,1,3,14,4,6,45,0.97518507,3,5,8,53
"H7GWFDSX7_G291_POOLRET74",15,4,1,8,5,4,37,0.971217414,3,2,5,42
"H7GWFDSX7_G292_POOLRET74",19,2,7,4,3,2,37,0.971187749,8,3,11,48
"H7GWFDSX7_G293_POOLRET74",12,5,4,7,3,3,34,0.97861736,6,6,12,46
"H7GWFDSX7_G294_POOLRET74",16,2,0,8,4,8,38,0.979139206,5,5,10,48
