"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"G222_POOLRET72_S297_L002",4,7,4,3,1,5,24,0.973466492,8,9,17,41
"G223_POOLRET73_S451_L003",6,5,4,5,4,7,31,0.977437689,4,1,5,36
"G224_POOLRET73_S441_L003",8,1,6,3,2,12,32,0.974935914,4,1,5,37
"G226_POOLRET72_S258_L002",9,1,4,8,0,5,27,0.975244979,16,74,90,117
"G227_POOLRET72_S377_L002",11,0,4,5,2,11,33,0.974425565,1,3,4,37
"G229_POOLRET73_S539_L003",5,2,4,6,1,3,21,0.975516601,8,2,10,31
"G230_POOLRET73_S458_L003",4,0,2,2,2,2,12,0.976039463,2,0,2,14
"G231_POOLRET73_S457_L003",6,2,3,1,2,6,20,0.976791001,5,2,7,27
"G232_POOLRET73_S558_L003",6,1,3,2,0,9,21,0.964160355,3,3,6,27
"G233_POOLRET72_S242_L002",10,2,0,0,4,8,24,0.967951816,2,2,4,28
"G234_POOLRET72_S215_L002",2,3,1,1,1,2,10,0.966688106,5,0,5,15
"G235_POOLRET73_S570_L003",10,2,1,2,3,8,26,0.956196474,4,2,6,32
"G237_POOLRET72_S307_L002",3,0,3,6,2,6,20,0.975022635,1,9,10,30
"G239_POOLRET73_S444_L003",0,2,2,2,1,4,11,0.972085557,3,0,3,14
"G241_POOLRET73_S452_L003",9,0,2,2,2,3,18,0.975011936,5,1,6,24
"G242_POOLRET72_S286_L002",4,0,3,3,1,6,17,0.975687132,6,2,8,25
"G244_POOLRET73_S408_L003",6,5,2,3,1,8,25,0.975686903,5,7,12,37
"G245_POOLRET73_S519_L003",11,1,1,4,4,9,30,0.975292752,2,0,2,32
"G247_POOLRET73_S530_L003",4,2,2,1,5,3,17,0.974693747,3,3,6,23
"G248_POOLRET73_S387_L003",5,1,2,1,1,6,16,0.97635832,5,1,6,22
"G249_POOLRET72_S198_L002",6,2,6,1,1,7,23,0.965858432,4,0,4,27
"G252_POOLRET73_S481_L003",10,6,2,2,1,6,27,0.973632168,11,5,16,43
"G253_POOLRET73_S431_L003",9,2,2,3,8,2,26,0.973158385,4,3,7,33
"G254_POOLRET73_S447_L003",4,1,2,4,1,7,19,0.966699613,2,1,3,22
"G255_POOLRET72_S237_L002",8,2,3,2,3,12,30,0.975124883,3,3,6,36
"G257_POOLRET73_S540_L003",6,3,2,6,4,6,27,0.971795209,5,3,8,35
"G258_POOLRET73_S473_L003",11,6,5,1,2,10,35,0.943608197,8,6,14,49
"G259_POOLRET73_S428_L003",9,4,2,3,2,7,27,0.976615852,4,4,8,35
"G261_POOLRET72_S254_L002",10,1,5,5,1,9,31,0.977258412,1,4,5,36
"G262_POOLRET73_S394_L003",5,2,4,8,1,9,29,0.974310495,6,1,7,36
"G264_POOLRET73_S470_L003",6,0,5,5,7,4,27,0.977576172,10,9,19,46
"G265_POOLRET72_S298_L002",10,2,4,5,3,6,30,0.955193945,5,5,10,40
"G266_POOLRET73_S407_L003",6,2,4,1,5,8,26,0.971299887,6,3,9,35
"G268_POOLRET72_S342_L002",7,2,5,6,4,11,35,0.955343636,4,4,8,43
"G269_POOLRET73_S573_L003",9,3,7,5,1,7,32,0.948536721,3,2,5,37
"G270_POOLRET72_S345_L002",4,1,3,3,0,6,17,0.977295546,2,1,3,20
"G271_POOLRET73_S413_L003",10,2,4,2,4,5,27,0.971039224,1,2,3,30
"G273_POOLRET73_S525_L003",7,2,4,1,1,2,17,0.96986743,3,2,5,22
"G274_POOLRET72_S271_L002",5,2,4,5,2,3,21,0.976553671,3,0,3,24
"G277_POOLRET72_S364_L002",7,2,2,5,4,6,26,0.976434153,3,8,11,37
"G279_POOLRET72_S305_L002",7,5,7,2,0,5,26,0.975571005,3,6,9,35
"G280_POOLRET73_S487_L003",13,1,2,5,4,11,36,0.971517564,6,2,8,44
"G281_POOLRET73_S422_L003",6,1,2,3,1,7,20,0.97199735,4,2,6,26
"G282_POOLRET72_S248_L002",8,4,1,7,2,11,33,0.97593224,5,6,11,44
"G283_POOLRET73_S427_L003",8,2,0,2,5,7,24,0.976446557,1,2,3,27
"G284_POOLRET73_S463_L003",5,4,4,5,4,3,25,0.977079694,3,5,8,33
"G285_POOLRET72_S325_L002",12,3,2,3,7,10,37,0.967223512,17,10,27,64
"G286_POOLRET73_S548_L003",5,2,4,3,3,6,23,0.973087538,1,3,4,27
"G287_POOLRET73_S549_L003",6,2,2,4,1,6,21,0.971705157,5,1,6,27
"G289_POOLRET73_S537_L003",7,2,4,5,0,4,22,0.966218231,3,3,6,28
"G290_POOLRET73_S426_L003",7,0,8,1,2,5,23,0.972880002,2,0,2,25
"G295_POOLRET73_S434_L003",11,2,5,8,3,5,34,0.973704082,3,5,8,42
"G296_POOLRET73_S386_L003",8,0,4,4,3,4,23,0.95718581,2,4,6,29
"G297_POOLRET72_S331_L002",8,1,6,5,3,5,28,0.975721414,4,7,11,39
"G298_POOLRET72_S306_L002",8,4,6,5,4,14,41,0.975487614,6,0,6,47
"G299_POOLRET72_S349_L002",7,0,2,0,4,5,18,0.966589279,8,3,11,29
"H7GWFDSX7_G200_POOLRET74",10,1,2,3,2,9,27,0.977850776,3,2,5,32
"H7GWFDSX7_G205_POOLRET74",13,3,5,3,4,5,33,0.980276399,6,3,9,42
"H7GWFDSX7_G207_POOLRET74",10,2,5,5,3,7,32,0.97472089,7,5,12,44
"H7GWFDSX7_G208_POOLRET74",11,7,3,1,2,5,29,0.97808683,14,4,18,47
"H7GWFDSX7_G220_POOLRET74",7,6,8,5,0,8,34,0.9758207,5,1,6,40
"H7GWFDSX7_G225_POOLRET74",6,2,3,4,3,10,28,0.97716146,7,3,10,38
"H7GWFDSX7_G228_POOLRET74",6,0,2,5,1,6,20,0.980204814,6,9,15,35
"H7GWFDSX7_G236_POOLRET74",7,3,4,9,2,9,34,0.97690317,8,4,12,46
"H7GWFDSX7_G238_POOLRET74",2,4,2,2,2,12,24,0.978818903,8,1,9,33
"H7GWFDSX7_G240_POOLRET74",6,2,5,2,2,8,25,0.974696569,4,1,5,30
"H7GWFDSX7_G243_POOLRET74",5,0,5,3,1,11,25,0.980491702,7,2,9,34
"H7GWFDSX7_G246_POOLRET74",3,3,1,1,1,6,15,0.98045759,3,0,3,18
"H7GWFDSX7_G250_POOLRET74",10,1,3,7,1,7,29,0.979434021,6,4,10,39
"H7GWFDSX7_G251_POOLRET74",10,0,4,7,4,15,40,0.966519538,7,3,10,50
