"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"G215_POOLRET72_S264_L002",415,2,13,4,2,5,5,10,39,0.920984082,3,1,4,43
"G216_POOLRET73_S502_L003",416,2,7,0,1,1,3,0,12,0.934357391,0,0,0,12
"G217_POOLRET73_S397_L003",417,2,12,4,6,6,0,4,32,0.758117095,1,1,2,34
"G218_POOLRET73_S521_L003",418,2,9,3,2,6,3,5,28,0.93812175,4,1,5,33
"G219_POOLRET73_S574_L003",419,2,10,4,1,7,4,3,29,0.869721808,4,0,4,33
"G221_POOLRET72_S308_L002",421,2,2,2,3,4,1,3,15,0.865003681,4,2,6,21
"G222_POOLRET72_S297_L002",422,2,7,8,5,6,3,1,30,0.915884208,9,3,12,42
"G223_POOLRET73_S451_L003",423,2,8,6,7,7,4,8,40,0.958716317,5,1,6,46
"G224_POOLRET73_S441_L003",424,2,8,2,6,4,4,10,34,0.935878096,7,1,8,42
"G226_POOLRET72_S258_L002",426,2,15,4,6,5,2,3,35,0.9463586,9,41,50,85
"G227_POOLRET72_S377_L002",427,2,18,1,7,3,5,7,41,0.912185432,0,1,1,42
"G229_POOLRET73_S539_L003",429,2,12,2,7,7,4,2,34,0.944404735,4,2,6,40
"G230_POOLRET73_S458_L003",430,2,9,4,6,3,7,4,33,0.956092432,2,0,2,35
"G231_POOLRET73_S457_L003",431,2,9,2,4,3,3,3,24,0.957279073,7,3,10,34
"G232_POOLRET73_S558_L003",432,2,8,3,7,2,3,1,24,0.777747294,1,1,2,26
"G233_POOLRET72_S242_L002",433,2,11,2,1,2,4,3,23,0.823912845,2,1,3,26
"G234_POOLRET72_S215_L002",434,2,1,2,1,1,1,1,7,0.777353911,2,0,2,9
"G235_POOLRET73_S570_L003",435,2,13,2,3,0,2,4,24,0.730347657,2,1,3,27
"G237_POOLRET72_S307_L002",437,2,8,2,11,7,2,6,36,0.934819258,3,5,8,44
"G239_POOLRET73_S444_L003",439,2,8,1,5,4,2,2,22,0.904403779,5,0,5,27
"G241_POOLRET73_S452_L003",441,2,13,2,4,6,1,1,27,0.934730742,3,2,5,32
"G242_POOLRET72_S286_L002",442,2,6,2,5,2,2,6,23,0.944196851,4,6,10,33
"G244_POOLRET73_S408_L003",444,2,8,4,6,5,5,7,35,0.947487975,5,4,9,44
"G245_POOLRET73_S519_L003",445,2,22,5,4,9,5,7,52,0.942753166,2,2,4,56
"G247_POOLRET73_S530_L003",447,2,8,3,4,7,8,2,32,0.932121754,4,4,8,40
"G248_POOLRET73_S387_L003",448,2,8,3,4,5,0,2,22,0.953910072,3,1,4,26
"G249_POOLRET72_S198_L002",449,2,8,2,8,5,2,1,26,0.809494101,3,1,4,30
"G252_POOLRET73_S481_L003",452,2,14,5,2,3,2,2,28,0.903529173,4,4,8,36
"G253_POOLRET73_S431_L003",453,2,13,2,5,7,6,7,40,0.909042972,5,2,7,47
"G254_POOLRET73_S447_L003",454,2,6,2,4,6,3,5,26,0.825638363,3,0,3,29
"G255_POOLRET72_S237_L002",455,2,13,5,6,5,5,7,41,0.932200219,3,2,5,46
"G257_POOLRET73_S540_L003",457,2,10,5,3,9,3,6,36,0.873491651,2,2,4,40
"G258_POOLRET73_S473_L003",458,2,10,5,3,1,0,3,22,0.568417187,4,0,4,26
"G259_POOLRET73_S428_L003",459,2,16,5,4,3,6,5,39,0.952239457,4,2,6,45
"G261_POOLRET72_S254_L002",461,2,18,2,11,6,7,7,51,0.953559715,4,2,6,57
"G262_POOLRET73_S394_L003",462,2,10,2,6,8,3,9,38,0.919012479,3,4,7,45
"G264_POOLRET73_S470_L003",464,2,13,2,12,9,7,4,47,0.952224908,10,8,18,65
"G265_POOLRET72_S298_L002",465,2,10,3,7,6,5,6,37,0.761553992,3,3,6,43
"G266_POOLRET73_S407_L003",466,2,15,3,4,2,6,2,32,0.867845073,5,1,6,38
"G268_POOLRET72_S342_L002",468,2,12,3,4,5,5,1,30,0.711131273,3,0,3,33
"G269_POOLRET73_S573_L003",469,2,6,2,5,4,0,3,20,0.594894426,0,1,1,21
"G270_POOLRET72_S345_L002",470,2,7,1,7,6,1,6,28,0.959252082,0,1,1,29
"G271_POOLRET73_S413_L003",471,2,12,2,4,5,3,7,33,0.88022047,1,3,4,37
"G273_POOLRET73_S525_L003",473,2,13,4,8,2,2,4,33,0.833646279,3,1,4,37
"G274_POOLRET72_S271_L002",474,2,15,3,5,8,4,1,36,0.957659075,4,1,5,41
"G277_POOLRET72_S364_L002",477,2,9,4,6,5,5,4,33,0.953206427,6,5,11,44
"G279_POOLRET72_S305_L002",479,2,9,9,11,3,0,3,35,0.937390255,4,2,6,41
"G280_POOLRET73_S487_L003",480,2,15,1,3,8,3,5,35,0.882051595,3,2,5,40
"G281_POOLRET73_S422_L003",481,2,11,5,3,5,3,9,36,0.90270285,3,6,9,45
"G282_POOLRET72_S248_L002",482,2,14,4,2,6,3,9,38,0.952264994,2,4,6,44
"G283_POOLRET73_S427_L003",483,2,6,2,3,4,5,2,22,0.954836469,3,3,6,28
"G284_POOLRET73_S463_L003",484,2,8,4,6,5,3,3,29,0.951846582,6,3,9,38
"G285_POOLRET72_S325_L002",485,2,17,4,7,4,5,2,39,0.821394677,10,6,16,55
"G286_POOLRET73_S548_L003",486,2,10,2,5,3,3,4,27,0.896482615,5,1,6,33
"G287_POOLRET73_S549_L003",487,2,9,5,4,2,2,1,23,0.852438727,3,2,5,28
"G289_POOLRET73_S537_L003",489,2,10,6,3,6,0,1,26,0.812021732,3,0,3,29
"G290_POOLRET73_S426_L003",490,2,14,7,6,3,3,4,37,0.896029862,3,1,4,41
"G295_POOLRET73_S434_L003",495,2,14,2,5,5,2,6,34,0.92042989,3,3,6,40
"G296_POOLRET73_S386_L003",496,2,12,3,5,1,1,2,24,0.708326635,0,1,1,25
"G297_POOLRET72_S331_L002",497,2,9,4,6,4,4,3,30,0.941820716,4,3,7,37
"G298_POOLRET72_S306_L002",498,2,17,5,8,8,4,11,53,0.933806728,6,1,7,60
"G299_POOLRET72_S349_L002",499,2,12,2,7,6,2,4,33,0.815676823,7,1,8,41
"H7GWFDSX7_G200_POOLRET74",400,2,13,4,6,7,5,6,41,0.969513942,6,1,7,48
"H7GWFDSX7_G205_POOLRET74",405,2,14,3,3,6,3,8,37,0.975882094,8,1,9,46
"H7GWFDSX7_G207_POOLRET74",407,2,13,4,9,6,2,5,39,0.930587039,4,2,6,45
"H7GWFDSX7_G208_POOLRET74",408,2,12,6,3,3,3,5,32,0.970537142,9,3,12,44
"H7GWFDSX7_G220_POOLRET74",420,2,15,4,8,7,2,8,44,0.946096002,4,0,4,48
"H7GWFDSX7_G225_POOLRET74",425,2,11,5,3,3,2,6,30,0.95143863,3,1,4,34
"H7GWFDSX7_G228_POOLRET74",428,2,11,1,3,5,1,5,26,0.976327498,4,4,8,34
"H7GWFDSX7_G236_POOLRET74",436,2,12,5,6,8,2,12,45,0.961339145,3,3,6,51
"H7GWFDSX7_G238_POOLRET74",438,2,5,3,6,2,3,9,28,0.971760877,6,2,8,36
"H7GWFDSX7_G240_POOLRET74",440,2,10,4,5,5,3,4,31,0.913801812,5,2,7,38
"H7GWFDSX7_G243_POOLRET74",443,2,18,2,6,3,1,5,35,0.976935547,7,1,8,43
"H7GWFDSX7_G246_POOLRET74",446,2,4,3,1,1,1,6,16,0.976929045,3,0,3,19
"H7GWFDSX7_G250_POOLRET74",450,2,11,2,3,7,8,4,35,0.974346263,8,3,11,46
"H7GWFDSX7_G251_POOLRET74",451,2,13,5,5,7,3,2,35,0.809340969,2,0,2,37
"H7GWFDSX7_G256_POOLRET74",456,2,9,1,4,3,1,6,24,0.939455929,6,1,7,31
"H7GWFDSX7_G260_POOLRET74",460,2,13,2,6,6,0,6,33,0.976029372,4,2,6,39
"H7GWFDSX7_G263_POOLRET74",463,2,12,2,6,2,6,5,33,0.976506675,3,1,4,37
"H7GWFDSX7_G267_POOLRET74",467,2,12,3,5,3,3,3,29,0.84430228,1,4,5,34
"H7GWFDSX7_G272_POOLRET74",472,2,11,2,2,5,2,2,24,0.973469005,1,0,1,25
"H7GWFDSX7_G275_POOLRET74",475,2,10,1,0,1,1,3,16,0.683698052,5,0,5,21
"H7GWFDSX7_G276_POOLRET74",476,2,9,2,5,7,1,7,31,0.960460003,5,1,6,37
"H7GWFDSX7_G278_POOLRET74",478,2,12,1,4,3,2,5,27,0.972835898,4,2,6,33
"H7GWFDSX7_G288_POOLRET74",488,2,14,1,3,11,4,4,37,0.943427584,1,3,4,41
"H7GWFDSX7_G291_POOLRET74",491,2,11,3,0,7,4,3,28,0.883829115,3,2,5,33
"H7GWFDSX7_G292_POOLRET74",492,2,15,1,6,3,3,1,29,0.861027409,5,2,7,36
"H7GWFDSX7_G293_POOLRET74",493,2,10,3,4,5,3,3,28,0.972312986,6,5,11,39
"H7GWFDSX7_G294_POOLRET74",494,2,15,2,0,7,3,7,34,0.972975279,4,3,7,41
