"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"H7GWFDSX7_G267_POOLRET74",467,2,8,1,2,2,3,3,19,0.971931618,0,1,1,20
"H7GWFDSX7_G272_POOLRET74",472,2,9,2,3,5,2,2,23,0.979084841,0,0,0,23
"H7GWFDSX7_G275_POOLRET74",475,2,7,1,1,1,1,2,13,0.950087998,4,0,4,17
"H7GWFDSX7_G276_POOLRET74",476,2,5,1,2,3,1,6,18,0.977634106,4,1,5,23
"H7GWFDSX7_G278_POOLRET74",478,2,10,0,3,3,0,1,17,0.978988238,3,0,3,20
"H7GWFDSX7_G288_POOLRET74",488,2,8,0,3,4,1,4,20,0.97518507,1,2,3,23
"H7GWFDSX7_G291_POOLRET74",491,2,9,2,1,4,3,2,21,0.971217414,2,2,4,25
"H7GWFDSX7_G292_POOLRET74",492,2,8,1,4,2,2,2,19,0.971187749,2,1,3,22
"H7GWFDSX7_G293_POOLRET74",493,2,3,1,2,5,1,2,14,0.97861736,4,4,8,22
"H7GWFDSX7_G294_POOLRET74",494,2,7,0,0,2,4,3,16,0.979139206,3,1,4,20
