"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"G203_POOLRET72_S273_L002",6,1,2,4,3,2,18,0.967777904,4,1,5,23
"G204_POOLRET73_S504_L003",4,0,1,4,3,8,20,0.972804508,0,1,1,21
"G206_POOLRET73_S465_L003",8,4,1,3,4,5,25,0.974240914,4,2,6,31
"G209_POOLRET72_S352_L002",18,7,9,6,5,4,49,97,3,3,6,55
"G210_POOLRET73_S494_L003",10,1,3,5,1,5,25,0.976774568,4,4,8,33
"G211_POOLRET73_S395_L003",9,2,5,2,3,6,27,0.966869516,7,1,8,35
"G212_POOLRET73_S396_L003",14,1,1,2,1,5,24,0.976032822,1,4,5,29
"G213_POOLRET72_S193_L002",7,0,3,4,0,3,17,0.974966426,1,2,3,20
"G214_POOLRET72_S332_L002",7,2,3,7,2,2,23,0.974958898,3,1,4,27
"G215_POOLRET72_S264_L002",9,1,0,2,3,7,22,0.973252884,3,2,5,27
"G216_POOLRET73_S502_L003",2,0,3,0,1,0,6,0.975159314,1,0,1,7
"G217_POOLRET73_S397_L003",6,1,3,6,0,2,18,0.96275148,3,1,4,22
"G218_POOLRET73_S521_L003",5,0,2,1,2,4,14,0.9751713,4,1,5,19
"G219_POOLRET73_S574_L003",5,3,0,2,1,4,15,0.971488717,5,0,5,20
"G221_POOLRET72_S308_L002",3,1,4,2,0,4,14,0.969476918,5,1,6,20
"G222_POOLRET72_S297_L002",4,7,4,3,0,2,20,0.973466492,7,3,10,30
"G223_POOLRET73_S451_L003",5,4,4,5,3,5,26,0.977437689,4,0,4,30
"G224_POOLRET73_S441_L003",8,1,6,2,2,7,26,0.974935914,4,1,5,31
"G226_POOLRET72_S258_L002",9,1,3,7,0,3,23,0.975244979,11,70,81,104
"G227_POOLRET72_S377_L002",11,0,4,4,2,4,25,0.974425565,0,1,1,26
"G229_POOLRET73_S539_L003",4,2,3,6,1,1,17,0.975516601,4,1,5,22
"G230_POOLRET73_S458_L003",4,0,2,2,2,1,11,0.976039463,2,0,2,13
"G231_POOLRET73_S457_L003",6,2,3,1,1,1,14,0.976791001,4,1,5,19
"G232_POOLRET73_S558_L003",6,1,3,2,0,4,16,0.964160355,2,2,4,20
"G233_POOLRET72_S242_L002",9,2,0,0,2,2,15,0.967951816,1,0,1,16
"G234_POOLRET72_S215_L002",2,3,1,1,1,1,9,0.966688106,4,0,4,13
"G235_POOLRET73_S570_L003",9,2,1,1,2,2,17,0.956196474,2,1,3,20
"G237_POOLRET72_S307_L002",2,0,3,4,1,2,12,0.975022635,1,7,8,20
"G239_POOLRET73_S444_L003",0,2,2,2,1,1,8,0.972085557,3,0,3,11
"G241_POOLRET73_S452_L003",7,0,1,2,2,1,13,0.975011936,3,0,3,16
"G242_POOLRET72_S286_L002",2,0,3,2,1,6,14,0.975687132,4,0,4,18
"G244_POOLRET73_S408_L003",6,5,2,1,1,3,18,0.975686903,3,3,6,24
"G245_POOLRET73_S519_L003",10,1,1,4,4,6,26,0.975292752,1,0,1,27
"G247_POOLRET73_S530_L003",4,2,2,1,5,1,15,0.974693747,1,2,3,18
"G248_POOLRET73_S387_L003",4,1,2,1,1,3,12,0.97635832,1,1,2,14
"G249_POOLRET72_S198_L002",6,2,6,1,1,1,17,0.965858432,2,0,2,19
"G252_POOLRET73_S481_L003",10,4,1,1,1,1,18,0.973632168,8,3,11,29
"G253_POOLRET73_S431_L003",8,2,2,3,6,1,22,0.973158385,2,1,3,25
"G254_POOLRET73_S447_L003",4,1,2,4,1,3,15,0.966699613,1,0,1,16
"G255_POOLRET72_S237_L002",8,2,3,2,3,6,24,0.975124883,2,3,5,29
"G257_POOLRET73_S540_L003",6,3,2,5,3,3,22,0.971795209,3,2,5,27
"G258_POOLRET73_S473_L003",9,5,4,1,1,5,25,0.943608197,4,4,8,33
"G259_POOLRET73_S428_L003",8,4,2,1,2,2,19,0.976615852,3,1,4,23
"G261_POOLRET72_S254_L002",9,1,5,4,1,5,25,0.977258412,0,2,2,27
"G262_POOLRET73_S394_L003",4,1,4,7,1,6,23,0.974310495,2,1,3,26
"G264_POOLRET73_S470_L003",6,0,5,5,6,3,25,0.977576172,8,7,15,40
"G265_POOLRET72_S298_L002",9,2,4,5,2,3,25,0.955193945,3,3,6,31
"G266_POOLRET73_S407_L003",6,2,4,1,5,2,20,0.971299887,3,2,5,25
"G268_POOLRET72_S342_L002",5,2,3,6,4,3,23,0.955343636,3,1,4,27
"G269_POOLRET73_S573_L003",9,3,6,4,1,3,26,0.948536721,2,1,3,29
"G270_POOLRET72_S345_L002",4,1,1,3,0,4,13,0.977295546,2,1,3,16
"G271_POOLRET73_S413_L003",10,2,4,2,3,2,23,0.971039224,1,1,2,25
"G273_POOLRET73_S525_L003",7,2,3,1,1,0,14,0.96986743,3,1,4,18
"G274_POOLRET72_S271_L002",5,2,4,5,2,1,19,0.976553671,3,0,3,22
"G277_POOLRET72_S364_L002",6,1,2,5,3,2,19,0.976434153,1,5,6,25
"G279_POOLRET72_S305_L002",7,4,7,1,0,1,20,0.975571005,3,4,7,27
"G280_POOLRET73_S487_L003",10,1,1,5,4,5,26,0.971517564,4,2,6,32
"G281_POOLRET73_S422_L003",6,1,2,2,1,4,16,0.97199735,4,2,6,22
"G282_POOLRET72_S248_L002",8,4,1,5,1,5,24,0.97593224,2,6,8,32
"G283_POOLRET73_S427_L003",6,2,0,2,2,0,12,0.976446557,1,2,3,15
"G284_POOLRET73_S463_L003",4,4,4,5,3,2,22,0.977079694,2,3,5,27
"G285_POOLRET72_S325_L002",11,3,2,3,5,4,28,0.967223512,13,8,21,49
"G286_POOLRET73_S548_L003",5,2,4,2,3,1,17,0.973087538,1,1,2,19
"G287_POOLRET73_S549_L003",5,2,2,4,1,1,15,0.971705157,3,1,4,19
"G289_POOLRET73_S537_L003",5,2,4,5,0,0,16,0.966218231,2,0,2,18
"G290_POOLRET73_S426_L003",7,0,7,1,2,1,18,0.972880002,1,0,1,19
"G295_POOLRET73_S434_L003",10,1,5,5,3,1,25,0.973704082,1,2,3,28
"G296_POOLRET73_S386_L003",8,0,3,3,1,1,16,0.95718581,1,3,4,20
"G297_POOLRET72_S331_L002",8,1,6,5,3,3,26,0.975721414,4,4,8,34
"G298_POOLRET72_S306_L002",7,4,5,5,4,9,34,0.975487614,5,0,5,39
"G299_POOLRET72_S349_L002",6,0,1,0,2,2,11,0.966589279,7,1,8,19
"H7GWFDSX7_G200_POOLRET74",10,1,2,3,2,4,22,0.977850776,2,1,3,25
"H7GWFDSX7_G205_POOLRET74",12,3,4,2,4,3,28,0.980276399,2,1,3,31
"H7GWFDSX7_G207_POOLRET74",10,1,4,5,2,1,23,0.97472089,4,2,6,29
"H7GWFDSX7_G208_POOLRET74",11,6,2,1,2,4,26,0.97808683,11,4,15,41
"H7GWFDSX7_G220_POOLRET74",7,5,7,4,0,5,28,0.9758207,2,0,2,30
"H7GWFDSX7_G225_POOLRET74",6,2,3,3,2,4,20,0.97716146,2,0,2,22
"H7GWFDSX7_G228_POOLRET74",5,0,2,4,1,4,16,0.980204814,3,3,6,22
"H7GWFDSX7_G236_POOLRET74",7,3,4,9,2,8,33,0.97690317,4,3,7,40
"H7GWFDSX7_G238_POOLRET74",2,3,2,1,2,5,15,0.978818903,6,0,6,21
"H7GWFDSX7_G240_POOLRET74",6,2,5,2,2,3,20,0.974696569,3,0,3,23
"H7GWFDSX7_G243_POOLRET74",5,0,5,3,1,6,20,0.980491702,3,0,3,23
"H7GWFDSX7_G246_POOLRET74",3,3,1,1,1,5,14,0.98045759,2,0,2,16
"H7GWFDSX7_G250_POOLRET74",9,1,2,6,1,5,24,0.979434021,6,3,9,33
"H7GWFDSX7_G251_POOLRET74",10,0,4,7,4,5,30,0.966519538,3,1,4,34
"H7GWFDSX7_G256_POOLRET74",3,1,1,4,1,5,15,0.975407922,5,0,5,20
"H7GWFDSX7_G260_POOLRET74",9,1,3,6,0,3,22,0.980036855,3,0,3,25
"H7GWFDSX7_G263_POOLRET74",4,1,2,1,3,6,17,0.980336865,1,0,1,18
"H7GWFDSX7_G267_POOLRET74",7,2,4,2,1,2,18,0.971931618,2,3,5,23
"H7GWFDSX7_G272_POOLRET74",2,0,0,1,0,0,3,0.979084841,1,0,1,4
"H7GWFDSX7_G275_POOLRET74",5,2,0,1,1,1,10,0.950087998,4,0,4,14
"H7GWFDSX7_G276_POOLRET74",7,2,3,5,1,4,22,0.977634106,2,0,2,24
"H7GWFDSX7_G278_POOLRET74",5,2,4,2,2,5,20,0.978988238,3,2,5,25
"H7GWFDSX7_G288_POOLRET74",9,1,0,10,3,2,25,0.97518507,2,3,5,30
"H7GWFDSX7_G291_POOLRET74",6,2,0,4,2,2,16,0.971217414,1,0,1,17
"H7GWFDSX7_G292_POOLRET74",11,1,3,2,1,0,18,0.971187749,6,2,8,26
"H7GWFDSX7_G293_POOLRET74",9,4,2,2,2,1,20,0.97861736,2,2,4,24
"H7GWFDSX7_G294_POOLRET74",9,2,0,6,0,5,22,0.979139206,2,4,6,28
